age,Education_level,Count_var,highlight,Count_var_tot,Frac_edu
61,University,113216,All people counted,113216,1
62,High School,112808,All people counted,112808,1
62,Middle School,112808,All people counted,112808,1
62,Research,112808,All people counted,112808,1
62,University,112808,All people counted,112808,1
63,High School,111571,All people counted,111571,1
63,Middle School,111571,All people counted,111571,1
63,Research,111571,All people counted,111571,1
63,University,111571,All people counted,111571,1
64,High School,111850,All people counted,111850,1
64,Middle School,111850,All people counted,111850,1
64,Research,111850,All people counted,111850,1
64,University,111850,All people counted,111850,1
65,High School,111152,All people counted,111152,1
65,Middle School,111152,All people counted,111152,1
65,Research,111152,All people counted,111152,1
65,University,111152,All people counted,111152,1
66,High School,108126,All people counted,108126,1
66,Middle School,108126,All people counted,108126,1
66,Research,108126,All people counted,108126,1
66,University,108126,All people counted,108126,1
67,High School,105160,All people counted,105160,1
67,Middle School,105160,All people counted,105160,1
67,Research,105160,All people counted,105160,1
67,University,105160,All people counted,105160,1
68,High School,106416,All people counted,106416,1
68,Middle School,106416,All people counted,106416,1
68,Research,106416,All people counted,106416,1
68,University,106416,All people counted,106416,1
69,High School,104558,All people counted,104558,1
69,Middle School,104558,All people counted,104558,1
69,Research,104558,All people counted,104558,1
69,University,104558,All people counted,104558,1
70,High School,101915,All people counted,101915,1
70,Middle School,101915,All people counted,101915,1
70,Research,101915,All people counted,101915,1
70,University,101915,All people counted,101915,1
71,High School,104907,All people counted,104907,1
71,Middle School,104907,All people counted,104907,1
71,Research,104907,All people counted,104907,1
71,University,104907,All people counted,104907,1
72,High School,107073,All people counted,107073,1
72,Middle School,107073,All people counted,107073,1
72,Research,107073,All people counted,107073,1
72,University,107073,All people counted,107073,1
73,High School,109063,All people counted,109063,1
73,Middle School,109063,All people counted,109063,1
73,Research,109063,All people counted,109063,1
73,University,109063,All people counted,109063,1
74,High School,107829,All people counted,107829,1
74,Middle School,107829,All people counted,107829,1
74,Research,107829,All people counted,107829,1
74,University,107829,All people counted,107829,1
