country_of_origin,company,farm_name,total_cup_points
Brazil,ipanema coffees,rio verde,82.33
Brazil,bourbon specialty coffees,NA,82.33
Guatemala,exportcafe,finca loma linda y anexo,82.33
Brazil,ipanema coffees,rio verde,82.33
Guatemala,"armajaro guatemala, s. a.",el morito,82.33
Mexico,sustainable harvest,NA,82.33
Colombia,the coffee source inc.,several,82.33
Taiwan,blossom valley宸嶧國際,guo cun nong yuan 國村農園,82.33
Taiwan,blossom valley宸嶧國際,yu jin gui 玉金櫃咖啡,82.33
Guatemala,"unex guatemala, s.a.",el morito,82.33
Colombia,exportadora de cafe condor s.a,NA,82.33
Mexico,ecomtrading,santa teresa,82.33
Guatemala,finca el morito,finca el morito,82.33
Mexico,NA,tepemalacax,82.33
Mexico,finca los barreales,finca los barreales 1112lbga7250412,82.33
Guatemala,"unex guatemala, s.a.",agropecuaria quiagral,82.33
Brazil,nucoffee,sitío santa luzia,82.33
Mexico,eczcafe fino s.a. de c.v.,cafetal santa maria,82.33
Brazil,nucoffee,café citrus,82.33
Colombia,carcafe ltda,NA,82.33
Brazil,klem organics coffee,fazendas klem ltda,82.25
Taiwan,宸嶧國際,眉泉莊園,82.25
Guatemala,mercon guatemala s.a.,linda vista,82.25
Brazil,ipanema coffees,rio verde,82.25
Brazil,ipanema coffees,rio verde,82.25
Taiwan,blossom valley宸嶧國際,guo xing ka fei wang 國姓咖啡王咖啡莊園,82.25
Mexico,NA,finca huehuetecpan,82.25
Mexico,NA,omicuatla,82.25
Guatemala,"siembras vision, s.a. / ing. jorge bolaños",finca medina,82.25
Mexico,finca los barreales,los barreales 1112lbgr7230412,82.25
Mexico,NA,jamaica,82.25
Mexico,NA,chilcuatla,82.25
Mexico,organizaciones de productores de cafe colimense sa de cv,comunidad de canoas,82.25
Colombia,exportadora de cafe condor s.a,NA,82.25
Colombia,c.i.racafe & cia s.c.a,NA,82.25
Brazil,nucoffee,caxambu,82.25
Colombia,NA,NA,82.25
Brazil,ipanema coffees,fazenda capoeirnha,82.17
Brazil,ipanema coffees,rio verde,82.17
Guatemala,essence coffee,blue lake,82.17
Brazil,bourbon specialty coffees,NA,82.17
Mexico,"café andrade, s.a. de c.v.",el pino,82.17
Mexico,lusso coffee lab,NA,82.17
Taiwan,blossom valley宸嶧國際,song yue coffee 嵩岳咖啡,82.17
Taiwan,"red on tree co., ltd.",kan tou mountain coffee 崁頭山咖啡館,82.17
Colombia,exportadora de cafe condor s.a,NA,82.17
Mexico,NA,el nanchi,82.17
Guatemala,the coffee source inc.,NA,82.17
Mexico,NA,las truchas,82.17
Mexico,organizaciones de productores de cafe colimense sa de cv,"la calera, barranca de la leona, el nogal",82.17
Colombia,NA,NA,82.17
Colombia,skn caribecafe ltda,NA,82.08
Brazil,ipanema coffees,fazenda capoeirnha,82.08
Brazil,ipanema coffees,rio verde,82.08
Colombia,cafe politico,NA,82.08
Mexico,NA,"cafetal el equimite, rancho agroecológico",82.08
